,start,end,x_ksm,y_ksm,z_ksm,label,duration,Range,subLST,subLat,south phase,north phase
0,2004-01-01 14:30:00.000,2004-01-01 16:03:00.000,661.9344275830113,-1278.4648452063168,-133.75436431413337,LFE_sm,5580.0,1445.8629868770893,7.524166666666667,-19.815590294750105,1278.1546024227941,-1505.3702522295648
1,2004-01-02 05:06:00.000,2004-01-02 10:42:00.000,659.3086061562077,-1274.5767006631224,-133.99720648423715,LFE,20160.0,1441.24559162223,7.5225,-19.81524380427954,1765.5516030794342,-1007.9356866830428
2,2004-01-02 21:42:00.000,2004-01-03 03:03:00.000,656.3270854197916,-1270.2506106001103,-133.34786842563,LFE,19260.0,1435.9956513859122,7.520555555555555,-19.814847278313,2319.7153161547917,-442.35939982877767
3,2004-01-03 23:39:00.000,2004-01-04 01:18:00.000,651.6749999515655,-1263.3568728915848,-133.52611899909283,LFE,5940.0,1427.7885411710083,7.517777777777778,-19.81422287163374,3186.013409787655,441.77943413918524
4,2004-01-04 01:39:00.000,2004-01-04 08:09:00.000,651.3169067357506,-1262.8458718821248,-133.3447793583619,LFE,23400.0,1427.1559968383556,7.5175,-19.81417458617119,3252.7801222063727,509.9211554469282
5,2004-01-04 18:21:00.000,2004-01-04 19:12:00.000,648.3293533519102,-1258.444778212761,-133.0860268040446,LFE_sm,3060.0,1421.8741508161538,7.515555555555555,-19.81377097764338,3810.282170902666,1078.9045283665807
6,2004-01-04 23:57:00.000,2004-01-05 02:30:00.000,647.3285462326202,-1256.9732651965842,-132.95235142106512,LFE,9180.0,1420.102941316224,7.515,-19.81363562115976,3997.2289656750763,1269.7013480282599
7,2004-01-05 16:15:00.000,2004-01-05 17:06:00.000,644.4183509389196,-1252.65091204508,-132.91551706674423,LFE,3060.0,1414.947296951843,7.513055555555556,-19.81324173593607,4541.377671887625,1825.0563766863636
8,2004-01-06 01:03:00.000,2004-01-06 04:03:00.000,642.8489949188255,-1250.35139246763,-132.5636400077979,LFE_sm,10800.0,1412.1637842566288,7.512222222222222,-19.81302910248071,4835.151206529985,2124.8799504404324
9,2004-01-07 09:51:00.000,2004-01-07 16:33:00.000,637.0106811290699,-1241.6634686267753,-132.28275552259058,LFE,24120.0,1401.7879670632951,7.508333333333334,-19.81224087223508,5930.125290196956,3242.404179887414
10,2004-01-07 16:54:00.000,2004-01-07 18:24:00.000,635.7580583983831,-1239.8107478021043,-132.06962225725997,LFE_sm,5400.0,1399.5575673430767,7.5075,-19.81207295596419,6165.477951472936,3482.603747497207
11,2004-01-08 06:18:00.000,2004-01-08 10:24:00.000,633.3793812786314,-1236.2595757766032,-131.92826939288074,LFE,14760.0,1395.3179736508985,7.506111111111111,-19.811755615626144,6612.814924678345,3939.153280259084
12,2004-01-08 16:03:00.000,2004-01-08 18:03:00.000,631.650431526466,-1233.6836001772538,-131.73882411311487,LFE,7200.0,1392.2329585139792,7.505,-19.811526621217496,6938.3026477195945,4271.34417163433
13,2004-01-08 22:00:00.000,2004-01-08 22:45:00.000,630.5960652293578,-1232.062760674739,-132.07428957067407,LFE,2700.0,1390.350193904329,7.504166666666666,-19.811387902027565,7136.933617165279,4474.065792524865
14,2004-01-09 05:12:00.000,2004-01-09 08:12:00.000,629.32092719517,-1230.1674614978033,-131.8575523773703,LFE,10800.0,1388.0717657429277,7.503333333333333,-19.811221203924383,7377.293781872664,4719.375989232739
15,2004-01-09 15:42:00.000,2004-01-09 17:45:00.000,627.4627723754644,-1227.3847287476706,-131.70594832354445,LFE,7380.0,1384.748807511276,7.502222222222223,-19.810980476123163,7727.819022070932,5077.120026098389
16,2004-01-10 10:54:00.000,2004-01-10 13:54:00.000,624.0693044823126,-1222.3150972785693,-131.2216960466386,LFE,10800.0,1378.6717620033828,7.5,-19.81054766520369,8368.779461290624,5731.280550652719
17,2004-01-10 14:39:00.000,2004-01-10 15:24:00.000,623.4071578071283,-1221.273889309638,-131.59693167260366,LFE,2700.0,1377.4847184416587,7.499722222222222,-19.810464288820786,8493.96704707572,5859.046278104737
18,2004-01-10 20:51:00.000,2004-01-10 21:42:00.000,622.3128611847344,-1219.6752653732349,-131.07201178632823,LFE_sm,3060.0,1375.5220545061852,7.498888888888889,-19.81032725191873,8700.943855573745,6070.28561415874
19,2004-01-11 11:00:00.000,2004-01-11 12:36:00.000,619.8175080443255,-1215.877244406568,-131.2476999471898,LFE,5760.0,1371.0423682313449,7.497222222222223,-19.81001802784683,9173.318345936172,6552.38829241102
20,2004-01-11 18:15:00.000,2004-01-11 19:00:00.000,618.5401107822589,-1213.988182907969,-130.80120113705232,LFE,2700.0,1368.7469200351163,7.496666666666667,-19.809861459685663,9415.347678454023,6799.402032151586
21,2004-01-12 05:45:00.000,2004-01-12 10:36:00.000,616.5154678634677,-1210.9258016743868,-130.69274243213673,LFE,17460.0,1365.105568152185,7.495277777777778,-19.80961591168118,9799.256274861651,7191.216929671109
22,2004-01-12 17:54:00.000,2004-01-12 20:27:00.000,614.3784465906996,-1207.6746997884504,-130.7067528583059,LFE,9180.0,1361.2579885484922,7.493888888888889,-19.809360485099457,10204.864052805362,7605.1778866156465
23,2004-01-13 03:06:00.000,2004-01-13 07:36:00.000,612.7616708023743,-1205.2441241073486,-130.41868168658002,LFE,16200.0,1358.3443217508118,7.4927777777777775,-19.809169684284164,10511.990929931464,7918.629804631262
24,2004-01-14 00:00:00.000,2004-01-14 02:30:00.000,609.0931761939119,-1199.6807885582953,-130.11733325321237,LFE_sm,9000.0,1351.724458658187,7.490555555555556,-19.808743059990476,11209.703074707064,8630.710792297175
25,2004-01-14 02:36:00.000,2004-01-14 05:21:00.000,608.6372375231198,-1198.956297573932,-130.3750703091869,LFE,9900.0,1350.9008658484497,7.490277777777778,-19.80869056629316,11296.499800851398,8719.29502999724
26,2004-01-14 12:09:00.000,2004-01-14 13:51:00.000,606.9633501318315,-1196.4273171393925,-130.09935888087364,LFE_sm,6120.0,1347.8756162130967,7.489166666666667,-19.80849883294479,11615.310852650775,9044.671749241712
27,2004-01-14 14:48:00.000,2004-01-14 15:45:00.000,606.4990925612558,-1195.6891815044248,-130.3553758671476,LFE,3420.0,1347.0361138669643,7.488888888888889,-19.80844591506517,11703.776746605578,9134.95952997447
28,2004-01-15 11:06:00.000,2004-01-15 13:51:00.000,602.9459363807433,-1190.284389692152,-130.00179747282388,LFE,9900.0,1340.6047881046209,7.486388888888888,-19.808043359563666,12381.458877655561,9826.598001248061
29,2004-01-15 21:57:00.000,2004-01-16 00:12:00.000,601.0492164667754,-1187.3872480939654,-129.87401295045206,LFE,8100.0,1337.1671162541124,7.485277777777778,-19.807829254408897,12743.668292527105,10196.266839342565
30,2004-01-16 08:15:00.000,2004-01-16 12:03:00.000,599.2502082086261,-1184.6422410755122,-129.69471094989473,LFE,13680.0,1333.903583257377,7.484166666666667,-19.80762619682243,13087.516861483502,10547.19670407744
31,2004-01-16 18:42:00.000,2004-01-16 21:12:00.000,597.4265803621557,-1181.8547614907077,-129.52611371659995,LFE,9000.0,1330.5924283250683,7.483055555555556,-19.807419987050395,13436.372933871302,10903.237197910395
32,2004-01-17 05:39:00.000,2004-01-17 10:36:00.000,595.5174404218117,-1178.926305508412,-129.40855648432446,LFE,17820.0,1327.122763785482,7.481666666666666,-19.80720335960832,13801.92068436378,11276.313122070287
33,2004-01-17 10:54:00.000,2004-01-17 12:00:00.000,594.6027403201641,-1177.550987986601,-129.08654435328435,LFE,3960.0,1325.4591974246289,7.481111111111111,-19.807099280019106,13977.183304462915,11455.185140503112
34,2004-01-17 16:51:00.000,2004-01-17 20:21:00.000,593.5665860466802,-1175.9279828230715,-129.3046345378356,LFE,12600.0,1323.5737989890902,7.480555555555556,-19.806981166439197,14175.814273908603,11657.90676139365
35,2004-01-26 09:15:00.000,2004-01-26 09:45:00.000,557.6290776025294,-1120.0727289832173,-125.81086880421472,LFE_sm,1800.0,1257.5140083152278,7.456944444444445,-19.802838678633627,21132.905707938997,18758.274121660448
36,2004-01-26 11:18:00.000,2004-01-26 18:51:00.000,557.2789664381766,-1119.5123110177735,-125.85234805129828,LFE,27180.0,1256.863745385626,7.456666666666667,-19.80280105980928,21201.341588168183,18828.119386000883
37,2004-01-26 19:39:00.000,2004-01-26 20:12:00.000,555.8535479416684,-1117.2698951606376,-125.65839969703585,LFE_sm,1980.0,1254.2149810961523,7.455833333333333,-19.80264911256825,21480.09261251633,19112.61107246071
38,2004-01-26 23:18:00.000,2004-01-27 00:24:00.000,555.2307843938984,-1116.2613675969135,-125.8227278564898,LFE,3960.0,1253.0570711556772,7.455555555555556,-19.80258334132352,21601.941862680487,19236.96971384734
39,2004-01-27 00:57:00.000,2004-01-27 02:00:00.000,554.9493254976902,-1115.798171166671,-125.9609228346024,LFE,3780.0,1252.5336190021303,7.455277777777778,-19.802553739875385,21657.02440042593,19293.186633926227
40,2004-01-27 19:42:00.000,2004-01-28 03:24:00.000,551.753714312178,-1110.774708321752,-125.38264069647114,LFE,27720.0,1246.58470249421,7.453055555555555,-19.802223244652165,22282.96232935141,19932.015271186316
41,2004-01-28 19:03:00.000,2004-01-28 19:54:00.000,547.7811323439615,-1104.4476251691208,-125.2416832086407,LFE,3060.0,1239.1748080503723,7.450555555555556,-19.80182637274724,23062.46369683994,20727.56986745421
42,2004-01-29 07:18:00.000,2004-01-29 11:06:00.000,545.7000842917013,-1101.1334615740516,-125.09960461605354,LFE,13680.0,1235.286765601055,7.449166666666667,-19.80162394178344,23471.409810404584,21144.93791046414
43,2004-01-29 19:36:00.000,2004-01-29 22:24:00.000,543.6126472339982,-1097.824446553256,-124.77789265682068,LFE,10080.0,1231.382454064778,7.447777777777778,-19.801424175693903,23882.025091779702,21564.00949650676
44,2004-01-31 00:12:00.000,2004-01-31 05:15:00.000,538.7671389003409,-1090.087707323007,-124.3503576018792,LFE_sm,18180.0,1222.3028475182834,7.4447222222222225,-19.80096893082157,24836.789079367365,22538.436111207477
45,2004-01-31 05:21:00.000,2004-01-31 07:09:00.000,537.895843409785,-1088.7241263830444,-124.00599422043533,LFE,6480.0,1220.667705941566,7.444166666666667,-19.80088810102079,25008.713363845563,22713.901043574915
46,2004-01-31 12:45:00.000,2004-01-31 18:15:00.000,536.644538472484,-1086.6851927306975,-124.2050456925114,LFE,19800.0,1218.3180874254383,7.443333333333333,-19.800772569212647,25255.750199794817,22966.025412413564
