,start,end,duration,label,probability,x_ksm,y_ksm,z_ksm
37,2004-01-26 09:15:00.000,2004-01-26 09:45:00.000,1800.0,LFE_sm,0.8144249,557.6290776025294,-1120.0727289832173,-125.81086880421506
38,2004-01-26 11:18:00.000,2004-01-26 18:12:00.000,24840.0,LFE,0.9035457,557.2789664381766,-1119.5123110177735,-125.8523480512972
39,2004-01-26 18:18:00.000,2004-01-26 18:51:00.000,1980.0,LFE_sm,0.79345423,556.0839349156165,-1117.6194750260568,-125.80549721119911
40,2004-01-26 19:39:00.000,2004-01-26 20:12:00.000,1980.0,LFE_sm,0.76731235,555.8535479416684,-1117.2698951606374,-125.65839969703578
41,2004-01-26 23:18:00.000,2004-01-27 00:24:00.000,3960.0,LFE,0.89524496,555.2307843938984,-1116.261367596914,-125.82272785648986
42,2004-01-27 00:57:00.000,2004-01-27 02:00:00.000,3780.0,LFE,0.8214795,554.9493254976902,-1115.798171166671,-125.96092283460234
43,2004-01-27 19:42:00.000,2004-01-28 03:24:00.000,27720.0,LFE,0.9171506,551.753714312178,-1110.7747083217516,-125.38264069647094
44,2004-01-28 19:03:00.000,2004-01-28 19:54:00.000,3060.0,LFE,0.8229543,547.7811323439615,-1104.447625169121,-125.24168320864085
45,2004-01-29 07:18:00.000,2004-01-29 11:06:00.000,13680.0,LFE,0.9164854,545.7000842917014,-1101.1334615740516,-125.09960461605353
46,2004-01-29 19:36:00.000,2004-01-29 22:24:00.000,10080.0,LFE,0.83542836,543.6126472339981,-1097.8244465532557,-124.77789265682085
47,2004-01-31 00:12:00.000,2004-01-31 01:57:00.000,6300.0,LFE_sm,0.84555054,538.7671389003409,-1090.087707323007,-124.35035760187928
48,2004-01-31 02:03:00.000,2004-01-31 05:15:00.000,11520.0,LFE_sm,0.8658007,538.4541060882519,-1089.579686222855,-124.3864133463413
49,2004-01-31 05:21:00.000,2004-01-31 07:09:00.000,6480.0,LFE,0.8193521,537.8958434097851,-1088.7241263830438,-124.00599422043581
50,2004-01-31 12:45:00.000,2004-01-31 18:15:00.000,19800.0,LFE,0.89213634,536.644538472484,-1086.6851927306975,-124.20504569251165
51,2004-02-02 16:33:00.000,2004-02-02 19:36:00.000,10980.0,LFE,0.91506445,527.9073333637587,-1072.6611116410295,-123.28895247330301
